move_name,type,category,power,accuracy,pp,makes_contact,introduced,effect,z_effect
Psychic Fangs,Psychic,Physical,85,100,10,true,7,"The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Psychic Fangsturns intoShattered Psycheand has base power160.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Psychic Fangsturns intoShattered Psycheand has base power160."
Snipe Shot,Water,Special,80,100,15,false,8,Ignores moves and abilities that draw in moves. High critical hit ratio.,
Aqua Cutter,Water,Physical,70,100,20,false,9,Aqua Cutterdeals damage and has an increased critical-hit ratio.,
Rock Climb,Normal,Physical,90,85,20,true,4,Rock Climbdeals damage and has a 20% chance ofconfusingthe target.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Rock Climbturns intoBreakneck Blitzand has base power175.Outside of battleRock Climbcan be used to ascend rocky paths, inGeneration 4only. It can only be used with the appropriate Gym Badge."
Ember,Fire,Special,40,100,25,false,1,Emberdeals damage and has a 10% chance of burning the target.,"When a Pokémon is holdingFirium Zand uses its Z-Power,Emberturns intoInferno Overdriveand has base power100."
Pyro Ball,Fire,Physical,120,90,5,false,8,May burn opponent.							(10% chance),
Wonder Room,Psychic,Status,,,10,false,5,"Wonder Roomswitches the Defense and Special Defense of all Pokémon in battle, for 5 turns.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Wonder Roomturns intoZ-Wonder Roomand raises Special Defense one stage, in addition to its usual effect as above."
Aqua Step,Water,Physical,80,100,10,true,9,Raises user's Speed.							(100% chance),
Frenzy Plant,Grass,Special,150,90,5,false,3,"User must recharge next turn.Z-Move effectsWhen a Pokémon is holdingGrassium Zand uses its Z-Power,Frenzy Plantturns intoBloom Doomand has base power200.","When a Pokémon is holdingGrassium Zand uses its Z-Power,Frenzy Plantturns intoBloom Doomand has base power200."
Blast Burn,Fire,Special,150,90,5,false,3,"User must recharge next turn.Z-Move effectsWhen a Pokémon is holdingFirium Zand uses its Z-Power,Blast Burnturns intoInferno Overdriveand has base power200.","When a Pokémon is holdingFirium Zand uses its Z-Power,Blast Burnturns intoInferno Overdriveand has base power200."
Acrobatics,Flying,Physical,55,100,15,true,5,"Acrobaticsdeals damage, however, if the user is not holding an item, its power doubles to110.","When a Pokémon is holdingFlyinium Zand uses its Z-Power,Acrobaticsturns intoSupersonic Skystrikeand has base power100."
Smokescreen,Normal,Status,,100,20,false,1,Smokescreenlowers the target's Accuracy by one stage.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Smokescreenturns intoZ-Smokescreenand raises Evasiveness one stage, in addition to its usual effect as above."
Rolling Kick,Fighting,Physical,60,85,15,true,1,Rolling Kickdeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,"When a Pokémon is holdingFightinium Zand uses its Z-Power,Rolling Kickturns intoAll-Out Pummelingand has base power120."
Karate Chop,Fighting,Physical,50,100,25,true,1,Karate Chopdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,"When a Pokémon is holdingFightinium Zand uses its Z-Power,Karate Chopturns intoAll-Out Pummelingand has base power100."
ThunderShock,Electric,Special,40,100,30,false,1,Thunder Shockdeals damage and has a 10% chance of paralyzing the target.,"When a Pokémon is holdingElectrium Zand uses its Z-Power,Thunder Shockturns intoGigavolt Havocand has base power100."
Diamond Storm,Rock,Physical,100,95,5,false,6,Diamond Stormdeals damage and has a 50% chance of raising the user's Defense by two stages.,"When a Pokémon is holdingRockium Zand uses its Z-Power,Diamond Stormturns intoContinental Crushand has base power180."
Pika Papow,Electric,Special,,,20,false,7,"Pika Papowis a Pikachu-exclusivePartner Powerfrom Pokémon Let's Go. The power increases when Pikachu's Friendship is higher (similar toReturn), up to a maximum base power of102.",
Conversion,Normal,Status,,,30,false,1,Conversionchanges the user's type to the same type as the first move in the Pokémon's move list.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Conversionturns intoZ-Conversionand raises all stats one stage each, in addition to its usual effect as above."
Brave Bird,Flying,Physical,120,100,15,true,4,"Brave Birddeals damage, but the user receives1⁄3of the damage it inflicted in recoil. In other words, if the attack does 90 HP damage to the opponent, the user will lose 30 HP.","When a Pokémon is holdingFlyinium Zand uses its Z-Power,Brave Birdturns intoSupersonic Skystrikeand has base power190."
Court Change,Normal,Status,,100,10,false,8,Swaps the effects on either side of the field.,
Wring Out,Normal,Special,,100,5,true,4,Wring Outinflicts more damage when the opponent's HP is higher. At full HP its base power is120and it decreases in proportion - i.e. the power is:,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Wring Outturns intoBreakneck Blitzand has base power190."
Mega Punch,Normal,Physical,80,85,20,true,1,Mega Punchdeals damage with no additional effect.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Mega Punchturns intoBreakneck Blitzand has base power160."
Silver Wind,Bug,Special,60,100,5,false,3,"Silver Winddeals damage and has a 10% chance of raising the user's Attack, Defense, Special Attack, Special DefenseandSpeed by one stage each.","When a Pokémon is holdingBuginium Zand uses its Z-Power,Silver Windturns intoSavage Spin-Outand has base power120."
Faint Attack,Dark,Physical,60,,20,true,2,"Feint Attackdeals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage ofBounce,Dig,Dive,Fly,Phantom Force,Shadow ForceorSky Drop.","When a Pokémon is holdingDarkinium Zand uses its Z-Power,Feint Attackturns intoBlack Hole Eclipseand has base power120."
Sticky Web,Bug,Status,,,20,false,6,"Sticky Websets up a sticky net around the opposing team, which lowers the Speed of Pokémon switching into battle by one stage.","When a Pokémon is holdingBuginium Zand uses its Z-Power,Sticky Webturns intoZ-Sticky Weband raises Speed one stage, in addition to its usual effect as above."
Self-Destruct,Normal,Physical,200,100,5,false,1,"Self-Destructdeals high damage, but causes the user to faint.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Self-Destructturns intoBreakneck Blitzand has base power200."
Quiver Dance,Bug,Status,,,20,false,5,"Quiver Danceraises the user's Special Attack, Special Defense and Speed by one stage each.","When a Pokémon is holdingBuginium Zand uses its Z-Power,Quiver Danceturns intoZ-Quiver Danceand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Petal Dance,Grass,Special,120,100,10,true,1,"The user ofPetal Danceattacks for 2-3 turns, during which it cannot switch out, and then becomes confused. Confused Pokémon have a 33% chance of hurting themselves each turn, for 1-4 attacking turns (50% chance inGenerations 1-6). The damage received is as if the Pokémon attacks itself with a typeless 40 base power Physical attack.","When a Pokémon is holdingGrassium Zand uses its Z-Power,Petal Danceturns intoBloom Doomand has base power190."
Ice Beam,Ice,Special,90,100,10,false,1,Ice Beamdeals damage and has a 10% chance of freezing the target.,"When a Pokémon is holdingIcium Zand uses its Z-Power,Ice Beamturns intoSubzero Slammerand has base power175."
Matcha Gotcha,Grass,Special,80,90,15,false,9,The user fires a blast of tea that it mixed. The user's HP is restored by up to half the damage taken by the target. This may also leave the target with a burn.,
Psychic,Psychic,Special,90,100,10,false,1,Psychicdeals damage and has a 10% chance of lowering the target's Special Defense by one stage.,"When a Pokémon is holdingPsychium Zand uses its Z-Power,Psychicturns intoShattered Psycheand has base power175.When Mew is holdingMewnium Zand uses its Z-Power,Psychicturns intoGenesis Supernovaand has base power185."
Seed Bomb,Grass,Physical,80,100,15,false,4,Seed Bombdeals damage with no additional effect.,"When a Pokémon is holdingGrassium Zand uses its Z-Power,Seed Bombturns intoBloom Doomand has base power160."
